Package,Project,Name,Name,Type,Path,Status,Version
Core,,"Announcements (announcements_feed)",announcements_feed,module,core/modules/announcements_feed,Enabled,11.1.6
Core,,"Automated Cron (automated_cron)",automated_cron,module,core/modules/automated_cron,Enabled,11.1.6
Core,,"BigPipe (big_pipe)",big_pipe,module,core/modules/big_pipe,Enabled,11.1.6
Core,,"Block (block)",block,module,core/modules/block,Enabled,11.1.6
Core,,"Block Content (block_content)",block_content,module,core/modules/block_content,Enabled,11.1.6
Core,,"Breakpoint (breakpoint)",breakpoint,module,core/modules/breakpoint,Enabled,11.1.6
Core,,"CKEditor 5 (ckeditor5)",ckeditor5,module,core/modules/ckeditor5,Enabled,11.1.6
Core,,"Comment (comment)",comment,module,core/modules/comment,Enabled,11.1.6
Core,,"Configuration Manager (config)",config,module,core/modules/config,Enabled,11.1.6
Core,,"Contact (contact)",contact,module,core/modules/contact,Enabled,11.1.6
Core,,"Contextual Links (contextual)",contextual,module,core/modules/contextual,Enabled,11.1.6
"Field types",,"Datetime (datetime)",datetime,module,core/modules/datetime,Enabled,11.1.6
Core,,"Database Logging (dblog)",dblog,module,core/modules/dblog,Enabled,11.1.6
Core,,"Internal Dynamic Page Cache (dynamic_page_cache)",dynamic_page_cache,module,core/modules/dynamic_page_cache,Enabled,11.1.6
Core,,"Text Editor (editor)",editor,module,core/modules/editor,Enabled,11.1.6
Core,,"Field (field)",field,module,core/modules/field,Enabled,11.1.6
"Core (Experimental)",,"Field Layout (field_layout)",field_layout,module,core/modules/field_layout,Enabled,11.1.6
Core,,"Field UI (field_ui)",field_ui,module,core/modules/field_ui,Enabled,11.1.6
"Field types",,"File (file)",file,module,core/modules/file,Enabled,11.1.6
Core,,"Filter (filter)",filter,module,core/modules/filter,Enabled,11.1.6
Core,,"Help (help)",help,module,core/modules/help,Enabled,11.1.6
Core,,"History (history)",history,module,core/modules/history,Enabled,11.1.6
"Field types",,"Image (image)",image,module,core/modules/image,Enabled,11.1.6
Core,,"Layout Builder (layout_builder)",layout_builder,module,core/modules/layout_builder,Enabled,11.1.6
Core,,"Layout Discovery (layout_discovery)",layout_discovery,module,core/modules/layout_discovery,Enabled,11.1.6
"Field types",,"Link (link)",link,module,core/modules/link,Enabled,11.1.6
Core,,"Media (media)",media,module,core/modules/media,Enabled,11.1.6
Core,,"Media Library (media_library)",media_library,module,core/modules/media_library,Enabled,11.1.6
Core,,"Custom Menu Links (menu_link_content)",menu_link_content,module,core/modules/menu_link_content,Enabled,11.1.6
Core,,"Menu UI (menu_ui)",menu_ui,module,core/modules/menu_ui,Enabled,11.1.6
Core,,"MySQL (mysql)",mysql,module,core/modules/mysql,Enabled,11.1.6
"Core (Experimental)",,"Navigation (navigation)",navigation,module,core/modules/navigation,Enabled,11.1.6
Core,,"Node (node)",node,module,core/modules/node,Enabled,11.1.6
"Field types",,"Options (options)",options,module,core/modules/options,Enabled,11.1.6
Core,,"Internal Page Cache (page_cache)",page_cache,module,core/modules/page_cache,Enabled,11.1.6
Core,,"Path (path)",path,module,core/modules/path,Enabled,11.1.6
Core,,"Path alias (path_alias)",path_alias,module,core/modules/path_alias,Enabled,11.1.6
Core,,"Responsive Image (responsive_image)",responsive_image,module,core/modules/responsive_image,Enabled,11.1.6
Core,,"Search (search)",search,module,core/modules/search,Enabled,11.1.6
Core,,"Shortcut (shortcut)",shortcut,module,core/modules/shortcut,Enabled,11.1.6
Core,,"System (system)",system,module,core/modules/system,Enabled,11.1.6
